feature,mean_abs_shap
Destination Port,0.12367858920301253
Fwd Packet Length Std,0.03392381534141711
Avg Fwd Segment Size,0.029166989608427476
Max Packet Length,0.028946211059930952
Packet Length Mean,0.02748831022689315
min_seg_size_forward,0.027221077603185883
Packet Length Std,0.027127327898717902
Fwd Packet Length Mean,0.027118862731074517
Average Packet Size,0.026203867908035312
Packet Length Variance,0.020814328103743947
Avg Bwd Segment Size,0.020041298199208274
Fwd Packet Length Max,0.013612441757338846
Subflow Fwd Bytes,0.0134318405952025
Bwd Packet Length Mean,0.013199997308152559
Flow Bytes/s,0.011403085473060523
Bwd Packet Length Max,0.010911280130193856
Fwd Header Length,0.010132879641274873
Total Length of Fwd Packets,0.007219623418548621
Subflow Bwd Packets,0.00470567321098652
Init_Win_bytes_forward,0.004471574470369537
Total Length of Bwd Packets,0.003956218173731383
SYN Flag Count,0.003672996297076537
Init_Win_bytes_backward,0.0033362322314353923
Subflow Bwd Bytes,0.003274282518163661
Subflow Fwd Packets,0.002868514251808595
Min Packet Length,0.0028537030601319237
URG Flag Count,0.0026173795144867036
Total Backward Packets,0.002603227187253016
Fwd Packet Length Min,0.002150770390645182
Flow IAT Max,0.0020676523214329884
Bwd Header Length,0.0019916050138801228
Fwd IAT Mean,0.0018472301362575274
Bwd Packet Length Min,0.0018017377872338203
Total Fwd Packets,0.0017558670404712537
Bwd Packet Length Std,0.0015702367884116444
Flow Packets/s,0.0014777607033949053
Fwd IAT Max,0.0014543709993664526
Fwd IAT Total,0.0013850086498628843
Flow IAT Mean,0.0013406297113364401
Fwd IAT Min,0.0012592189369097114
act_data_pkt_fwd,0.0012538563159127547
Flow IAT Std,0.001173173804410093
Fwd IAT Std,0.0010450795867893573
Flow IAT Min,0.0007747473161869483
Fwd PSH Flags,0.0006656457167075026
Bwd IAT Mean,0.0006640503688714059
Fwd Packets/s,0.0006584955348103134
Flow Duration,0.0006158764739501818
Bwd IAT Max,0.00033843514439135304
Bwd IAT Std,0.0002565742009374384
Idle Min,0.00021734296027094737
Active Max,0.00021496048908897813
Active Mean,0.0001957809205580634
Active Std,0.00015122709887527622
Bwd IAT Min,0.00013857359761504053
Bwd Packets/s,0.0001176347433531283
Idle Max,7.452058847787343e-05
ACK Flag Count,7.24330263625052e-05
Down/Up Ratio,5.16159841357774e-05
Bwd IAT Total,4.6668035926814415e-05
FIN Flag Count,4.275686279434098e-05
RST Flag Count,0.0
ECE Flag Count,0.0
PSH Flag Count,0.0
Active Min,0.0
Idle Std,0.0
Idle Mean,0.0
