row_index,BinaryLabel,Subtype
50233,0,BENIGN
13702,0,BENIGN
152188,0,BENIGN
147442,0,BENIGN
153933,0,BENIGN
70887,0,BENIGN
123335,0,BENIGN
31471,0,BENIGN
179521,0,BENIGN
60225,0,BENIGN
175940,0,BENIGN
128124,0,BENIGN
28006,0,BENIGN
84116,0,BENIGN
182357,1,SSH-Patator
168832,0,BENIGN
136121,0,BENIGN
146594,0,BENIGN
186672,0,BENIGN
188889,1,SSH-Patator
183538,0,BENIGN
29472,0,BENIGN
96659,0,BENIGN
75709,0,BENIGN
45482,0,BENIGN
30130,0,BENIGN
86999,0,BENIGN
141924,0,BENIGN
184550,0,BENIGN
14655,0,BENIGN
80926,0,BENIGN
196974,0,BENIGN
2841,0,BENIGN
64984,0,BENIGN
30542,0,BENIGN
186176,0,BENIGN
47707,0,BENIGN
85958,0,BENIGN
193883,1,SSH-Patator
129444,0,BENIGN
12217,0,BENIGN
30572,0,BENIGN
107130,0,BENIGN
88892,0,BENIGN
45982,0,BENIGN
32081,0,BENIGN
102378,0,BENIGN
175101,0,BENIGN
118036,0,BENIGN
127060,0,BENIGN
118565,0,BENIGN
196293,0,BENIGN
190487,0,BENIGN
118625,0,BENIGN
194369,0,BENIGN
201712,0,BENIGN
159310,0,BENIGN
170211,0,BENIGN
144630,0,BENIGN
108679,0,BENIGN
180748,0,BENIGN
120011,0,BENIGN
25366,0,BENIGN
27480,0,BENIGN
95089,0,BENIGN
177956,0,BENIGN
120442,0,BENIGN
186248,0,BENIGN
53097,0,BENIGN
170353,0,BENIGN
195549,0,BENIGN
194437,0,BENIGN
107824,0,BENIGN
13324,0,BENIGN
30895,0,BENIGN
82737,0,BENIGN
56199,0,BENIGN
74471,0,BENIGN
89439,0,BENIGN
54944,0,BENIGN
45586,0,BENIGN
192081,0,BENIGN
140477,0,BENIGN
186044,0,BENIGN
36693,0,BENIGN
35798,0,BENIGN
39045,0,BENIGN
90400,0,BENIGN
175348,0,BENIGN
70867,0,BENIGN
152844,0,BENIGN
63018,0,BENIGN
198082,0,BENIGN
140839,0,BENIGN
16144,0,BENIGN
59989,0,BENIGN
108948,0,BENIGN
80921,0,BENIGN
179401,0,BENIGN
118235,0,BENIGN
30764,0,BENIGN
145461,0,BENIGN
165270,0,BENIGN
103887,0,BENIGN
12851,0,BENIGN
131550,0,BENIGN
44818,0,BENIGN
139031,0,BENIGN
155143,0,BENIGN
127528,0,BENIGN
53291,0,BENIGN
170871,0,BENIGN
15906,0,BENIGN
144520,0,BENIGN
92824,0,BENIGN
74846,0,BENIGN
160339,0,BENIGN
176180,0,BENIGN
20251,0,BENIGN
115483,0,BENIGN
43895,0,BENIGN
119637,0,BENIGN
102264,0,BENIGN
54727,0,BENIGN
145825,0,BENIGN
58675,0,BENIGN
159596,0,BENIGN
9497,0,BENIGN
15608,1,FTP-Patator
53332,0,BENIGN
111567,0,BENIGN
73518,0,BENIGN
178169,0,BENIGN
164632,0,BENIGN
4270,0,BENIGN
87907,0,BENIGN
191655,0,BENIGN
66047,0,BENIGN
182723,0,BENIGN
50031,0,BENIGN
182773,0,BENIGN
29074,0,BENIGN
49027,0,BENIGN
273,0,BENIGN
170770,0,BENIGN
153281,0,BENIGN
28340,0,BENIGN
115994,0,BENIGN
4830,1,FTP-Patator
71005,0,BENIGN
155959,0,BENIGN
144354,0,BENIGN
201814,0,BENIGN
107132,0,BENIGN
82861,0,BENIGN
67633,0,BENIGN
149204,0,BENIGN
87038,0,BENIGN
54451,0,BENIGN
178540,0,BENIGN
60065,0,BENIGN
49412,0,BENIGN
119223,0,BENIGN
128746,0,BENIGN
170617,0,BENIGN
49885,0,BENIGN
182194,0,BENIGN
176199,0,BENIGN
180570,1,SSH-Patator
31239,0,BENIGN
155039,0,BENIGN
172577,0,BENIGN
88761,0,BENIGN
132651,0,BENIGN
3382,0,BENIGN
196902,0,BENIGN
110509,0,BENIGN
196075,0,BENIGN
53772,0,BENIGN
124711,0,BENIGN
188831,0,BENIGN
172103,0,BENIGN
95034,0,BENIGN
181400,0,BENIGN
88936,0,BENIGN
162672,0,BENIGN
37894,0,BENIGN
5627,0,BENIGN
85933,0,BENIGN
31692,0,BENIGN
175642,0,BENIGN
23293,0,BENIGN
31468,0,BENIGN
117167,0,BENIGN
119725,0,BENIGN
161585,0,BENIGN
168357,0,BENIGN
133652,0,BENIGN
67080,0,BENIGN
37800,0,BENIGN
128966,0,BENIGN
17703,0,BENIGN
195528,0,BENIGN
60507,0,BENIGN
22175,0,BENIGN
128079,0,BENIGN
59125,0,BENIGN
106883,0,BENIGN
73060,0,BENIGN
15149,0,BENIGN
172173,0,BENIGN
30336,0,BENIGN
45723,0,BENIGN
32538,0,BENIGN
5254,0,BENIGN
155446,0,BENIGN
65806,0,BENIGN
145642,0,BENIGN
41370,0,BENIGN
66353,0,BENIGN
75513,0,BENIGN
74097,0,BENIGN
37114,0,BENIGN
121698,0,BENIGN
162900,0,BENIGN
126641,0,BENIGN
103447,0,BENIGN
161581,0,BENIGN
139307,0,BENIGN
165690,0,BENIGN
43278,0,BENIGN
201115,0,BENIGN
95255,0,BENIGN
81669,0,BENIGN
138996,0,BENIGN
90865,0,BENIGN
110649,0,BENIGN
21224,0,BENIGN
38952,0,BENIGN
172794,0,BENIGN
67049,0,BENIGN
22868,0,BENIGN
105173,0,BENIGN
126022,0,BENIGN
104100,0,BENIGN
49154,0,BENIGN
31451,0,BENIGN
170017,0,BENIGN
46290,0,BENIGN
50181,0,BENIGN
191520,0,BENIGN
44771,0,BENIGN
193592,0,BENIGN
39144,0,BENIGN
133120,0,BENIGN
95655,0,BENIGN
63454,0,BENIGN
55794,0,BENIGN
32349,0,BENIGN
125672,0,BENIGN
135119,0,BENIGN
